,year,name
0,2017,Andrea Basche
1,2017,Gabrielle Roesch‐McNally
2,2017,Jaki S. McCarthy
3,2017,James Wagner
4,2017,Herschel Sanders
5,2017,Amber Saylor Mase
6,2017,Benjamin M. Gramig
7,2017,Linda S. Prokopy
8,2017,Xiao‐Peng Song
9,2017,Peter Potapov
10,2017,А. В. Крылов
11,2017,LeeAnn King
12,2017,Carlos M. Di Bella
13,2017,Amy Hudson
14,2017,Ahmad Khan
15,2017,Bernard Adusei
16,2017,Stephen V. Stehman
17,2017,Matthew C. Hansen
18,2017,Tyler J. Lark
19,2017,Rick Mueller
20,2017,David M. Johnson
21,2017,Holly Gibbs
22,2017,Kemal Gökkaya
23,2017,Milan Budhathoki
24,2017,S. F. Christopher
25,2017,Brittany R. Hanrahan
26,2017,Jennifer L. Tank
27,2017,Jillian M. Deines
28,2017,A. D. Kendall
29,2017,D. W. Hyndman
30,2017,Nader Soltani
31,2017,J. Anita Dille
32,2017,Ian C. Burke
33,2017,Wesley J. Everman
34,2017,Mark J. VanGessel
35,2017,Vince M. Davis
36,2017,Peter H. Sikkema
37,2017,J. Gordon Arbuckle
38,2017,John Tyndall
39,2017,Lois Wright Morton
40,2017,Jon Hobbs
41,2017,Jun Xiong
42,2017,Prasad S. Thenkabail
43,2017,James C. Tilton
44,2017,Murali Krishna Gumma
45,2017,Pardhasaradhi Teluguntla
46,2017,Adam Oliphant
47,2017,Russell G. Congalton
48,2017,Kamini Yadav
49,2017,Noel Gorelick
50,2017,George Azzari
51,2017,Meha Jain
52,2017,David B. Lobell
53,2017,I. E. Mladenova
54,2017,John Bolten
55,2017,Wade T. Crow
56,2017,Martha C. Anderson
57,2017,Christopher Hain
60,2017,Matthew Shapero
61,2017,Iryna Dronova
62,2017,Luke Macaulay
63,2017,Sara Kelly
64,2017,Zeinab Takbiri
65,2017,Patrick Belmont
66,2017,Efi Foufoula‐Georgiou
67,2017,Nemi Vora
68,2017,Apurva Shah
69,2017,Melissa M. Bilec
70,2017,Vikas Khanna
71,2017,Ryan S. Miller
72,2017,Steven J. Sweeney
73,2017,Chris Slootmaker
74,2017,Daniel A. Grear
75,2017,Paul A. Di Salvo
76,2017,Deborah Kiser
77,2017,Stephanie A. Shwiff
78,2017,Roger F. Auch
79,2017,George Xian
80,2017,Christopher R. Laingen
81,2017,Kristi L. Sayler
82,2017,Ryan R. Reker
83,2017,Philip W. Gassman
84,2017,Adriana Valcu‐Lisman
85,2017,Catherine L. Kling
86,2017,Steven K. Mickelson
87,2017,Yiannis Panagopoulos
88,2017,Raj Cibin
89,2017,Indrajeet Chaubey
90,2017,Calvin F. Wolter
91,2017,Keith E. Schilling
92,2017,Rositsa T. Ilieva
93,2017,Dennis Todey
94,2017,Olivia Kellner
95,2017,Jeffrey A. Andresen
98,2017,Lynn Finley
99,2017,M. Jahi Chappell
100,2017,Paul Thiers
101,2017,Mia Moore
102,2017,Shannan K. Sweet
103,2017,David W. Wolfe
104,2017,Arthur T. DeGaetano
105,2017,Rebecca Benner
106,2017,Hanna Breunig
107,2017,Ling Jin
108,2017,Alastair Robinson
109,2017,Corinne D. Scown
110,2017,Hankui Zhang
111,2017,David P. Roy
112,2017,Xiangming Xiao
113,2017,Jinwei Dong
114,2017,Michael A. Menarguez
116,2017,Yuanwei Qin
117,2017,Russell Doughty
118,2017,Katherine V. Cook
119,2017,K. David Hambright
120,2017,Markus J. Peterson
121,2017,X. Ben Wu
122,2017,Paikho Rho
123,2017,Catherine Brinkley
124,2017,Kayla A. Cotterman
126,2017,Bruno Basso
128,2017,Benjamin M. Sleeter
129,2017,Tamara S. Wilson
130,2017,Ethan Sharygin
131,2017,Jason Sherba
132,2017,Landon Marston
133,2017,Megan Konar
134,2017,Azad Abdulhafedh
135,2017,A.N. Hristov
136,2017,M.T. Harper
137,2017,Robert J. Meinen
138,2017,R. L. Day
139,2017,J.C. Lopes
140,2017,Troy Ott
141,2017,Aranya Venkatesh
142,2017,Cynthia A. Randles
143,2017,Julia Valliant
144,2017,James Farmer
145,2017,Stephanie Dickinson
146,2017,Analena B. Bruce
147,2017,Jennifer Meta Robinson
148,2017,Cuizhen Wang
149,2017,Qian Fan
150,2017,Qingting Li
151,2017,William M. SooHoo
152,2017,Linlin Lu
153,2017,Louise Slater
154,2017,Gabriele Villarini
155,2017,John E. Quinn
156,2017,Tala Awada
157,2017,Federico J. Trindade
158,2017,Lilyan E. Fulginiti
159,2017,Richard K. Perrin
160,2017,Benjamin J. Booth
161,2017,Rena R. Jones
162,2017,Mary Turyk
163,2017,Sally Freels
164,2017,Deven M. Patel
165,2017,Leslie Stayner
166,2017,Mary H. Ward
167,2017,Jong-Yoon Park
168,2017,Srinivasulu Ale
169,2017,Richard Teague
170,2017,Matthew R. Sanderson
171,2017,Jason S. Bergtold
172,2017,Jessica L. Heier Stamm
173,2017,Marcellus M. Caldas
174,2017,Steven M. Ramsey
176,2017,Aleksan Shanoyan
177,2017,Jason E. Fewell
178,2017,Jeffery Williams
179,2017,Mandy D. Bish
180,2017,Kevin W. Bradley
181,2017,Rachel E. Schattman
182,2017,V. Ernesto Méndez
183,2017,Scott C. Merrill
184,2017,Asim Zia
185,2017,Adam Calo
186,2017,Ryan E. Baxter
187,2017,Kirby Calvert
188,2017,Amber Kerr
189,2017,J. Dialesandro
190,2017,Kerri L. Steenwerth
191,2017,Nathan Lopez-Brody
192,2017,Emile Elias
193,2017,Jenna Gibbs
194,2017,Michael G. Yost
195,2017,Maria Negrete
196,2017,Richard A. Fenske
197,2017,Narayan Nyaupane
198,2017,Jeffrey Gillespie
199,2017,Kenneth McMillin
200,2017,Maaz Gardezi
202,2017,Claire G. Boryan
203,2017,Zhengwei Yang
204,2017,Patrick Willis
205,2017,Liping Di
206,2017,Patricia Lawston-Parker
207,2017,Joseph A. Santanello
208,2017,Trenton E. Franz
209,2017,Matthew Rodell
210,2017,Jacek M. Mazurek
211,2017,Paul K. Henneberger
212,2017,Linda J. Young
213,2017,Andrea C. Lamas
214,2017,Denise A. Abreu
215,2017,Elke Brandes
216,2017,Gabe McNunn
217,2017,Lisa A. Schulte
218,2017,David J. Muth
219,2017,Andy VanLoocke
220,2017,Emily A. Heaton
221,2017,Nathan Rosenberg
222,2017,Glennon Beresin
223,2017,J. Michael Wright
224,2017,Glenn Rice
225,2017,Jyotsna S. Jagai
226,2017,Benjamin Tong
227,2017,Tracy A. Boyer
228,2017,Larry D. Sanders
229,2017,Annette Clancy
230,2017,Alessandro Bonanno
231,2017,Patrick Canning
232,2017,Rebecca Cleary
233,2017,Zach Conrad
234,2017,David H. Fleisher
235,2017,Miguel I. Gómez
236,2017,Timothy S. Griffin
237,2017,Ryan Lee
238,2017,Daniel A. Kane
239,2017,Anne Palmer
240,2017,Kristen Park
241,2017,Christian J. Peters
242,2017,Nicole Tichenor Blackstone
243,2017,Deishin Lee
244,2017,Erkut Sönmez
246,2017,Xiaoli Fan
247,2017,Kelly Garbach
248,2017,Geoffrey P. Morgan
249,2017,Stephen N. Matthews
250,2017,Louis R. Iverson
251,2017,David Schimmelpfennig
252,2017,H. G. A. Bates
254,2017,Ashley Hand
255,2017,Troy Bowman
257,2017,Rohan Jadhav
258,2017,Chandran Achutan
259,2017,Gleb Haynatzki
260,2017,Shireen S. Rajaram
261,2017,Risto Rautiainen
262,2017,Richard A. Dunn
263,2017,Brent Hueth
264,2017,Patrick Baur
265,2017,Christy Getz
266,2017,Jennifer Sowerwine
267,2017,Shari Burgus
268,2017,Ellen G. Duysen
269,2017,Senorpe Asem-Hiablie
270,2017,C. Alan Rotz
271,2017,Robert Stout
272,2017,Kathleen Fisher
273,2017,Horacio A. Aguirre‐Villegas
274,2017,T.H. Passos-Fonseca
275,2017,Douglas J. Reinemann
276,2017,R. H. Larson
277,2017,Lauren E. Padilla
278,2017,Michael Winchell
279,2017,Natalia Peranginangin
280,2017,Shanique Grant
281,2017,Kelly W Powell
282,2017,W. Gregory Cope
283,2017,Catherine E. LePrevost
284,2017,Tom Augspurger
285,2017,Annette M. McCarthy
286,2017,Damian Shea
289,2017,Huixuan Li
290,2017,Samantha Grover
291,2017,Joshua Gruver
292,2017,Stephen Barnes
293,2017,Craig A. Bond
294,2017,Nicholas Burger
295,2017,Kate Anania
296,2017,Aaron Strong
297,2017,Sarah Weilant
298,2017,Stephanie Virgets
300,2017,Kylie L. Martinod
301,2017,David L. Gorchov
302,2017,Hui-Ju Kuo
303,2017,David J. Peters
304,2017,J. A. LaMondia
305,2017,Nina Shishkoff
306,2017,Christy Anderson Brekken
307,2017,Melissa Parks
308,2017,Matthew Lundgren
309,2017,David S. Conner
310,2017,Florence Becot
311,2017,Diane Imrie
312,2017,Benjamin L. Turner
313,2017,Melissa R. Wuellner
314,2017,T. Philip Nichols
315,2017,R. N. Gates
316,2017,L. O. Tedeschi
317,2017,Barry H. Dunn
318,2017,Man Li
319,2017,Wenchao Xu
320,2017,Mark W. Rosegrant
321,2017,Jeffrey K. O’Hara
322,2017,Matthew Benson
323,2017,Jake Galzki
324,2017,D. J. Mulla
325,2017,Erin L. Meier
326,2017,Waleed Aleadelat
327,2017,Khaled Ksaibati
328,2017,Charles B. Dodson
329,2017,Bruce L. Ahrendsen
330,2017,Tong Wang
331,2017,Moses Luri
332,2017,Larry Janssen
333,2017,David A. Hennessy
334,2017,Hongli Feng
335,2017,Michael C. Wimberly
336,2017,Gaurav Arora
340,2017,Jaehak Jeong
341,2019,Lisa Meierotto
342,2019,Rebecca L. Som Castellano
343,2023,Lauren Asprooth
344,2023,Michael I. Norton
345,2023,Ryan E. Galt
346,2017,Lee Schulz
347,2017,Georgeanne M. Artz
348,2017,Patrick J. Gunn
349,2020,Mojca Bavdaž
350,2020,Ger Snijkers
351,2020,Joseph W. Sakshaug
352,2020,Türknur Brand
353,2020,Gustav Haraldsen
354,2020,Bilal Kurban
355,2020,Paulo Saraiva
356,2020,Diane K. Willimack
357,2018,Asaph Young Chun
358,2018,Steven G. Heeringa
359,2018,Barry Schouten
360,2018,Scott Loveridge
361,2018,Stephen R. Miller
362,2018,Jeff O’Hara
363,2018,Laura Goddeeris
364,2018,Rich Pirog
365,2018,Elissa Trumbull
366,2018,James L. Chamberlain
367,2018,Aaron Teets
368,2018,Steve Kruger
369,2019,Mohit Anand
370,2019,Ruiqing Miao
371,2019,Madhu Khanna
372,2022,Beyza Atiye Cikmaz
373,2022,Enes Yıldırım
374,2022,İbrahim Demir
375,2018,Kitty J. Hendricks
376,2018,Larry A. Layne
377,2018,E. Michael Goldcamp
378,2017,Ling Sun
379,2017,Eldon Ball
380,2017,Richard F. Nehring
381,2017,Ryan Williams
382,2017,Truong Chau
383,2018,Andrew Flachs
384,2018,Matthew Abel
385,2019,Salah F. Issa
386,2019,Kiana Patrick
