,year,name
0,2017,Union of Concerned Scientists
1,2017,Pacific Northwest Research Station
2,2017,US Forest Service
3,2017,Iowa State University
4,2017,National Agricultural Statistics Service
5,2017,University of Michigan–Ann Arbor
6,2017,RTI International
7,2017,University of Wisconsin–Madison
8,2017,State Street (United States)
9,2017,Purdue University West Lafayette
10,2017,"University of Maryland, College Park"
11,2017,Centro Científico Tecnológico - San Juan
12,2017,University of Buenos Aires
13,2017,SUNY College of Environmental Science and Forestry
14,2017,State University of New York
17,2017,University of Notre Dame
18,2017,Michigan State University
19,2017,University of Guelph
20,2017,Kansas State University
21,2017,Washington State University
22,2017,North Carolina State University
23,2017,University of Delaware
24,2017,BASF (United States)
25,2017,California Institute of Technology
27,2017,Astrogeology Science Center
28,2017,United States Geological Survey
29,2017,Goddard Space Flight Center
30,2017,International Crops Research Institute for the Semi-Arid Tropics
31,2017,University of New Hampshire
32,2017,Google (United States)
33,2017,Stanford University
34,2017,Earth System Science Interdisciplinary Center
37,2017,Agricultural Research Service
39,2017,"University of California, Berkeley"
40,2017,Utah State University
41,2017,University of Minnesota
42,2017,Irvine University
43,2017,"University of California, Irvine"
44,2017,University of Pittsburgh
45,2017,"University of Maryland, Baltimore County"
46,2017,Animal and Plant Health Inspection Service
47,2017,United States Department of Agriculture
48,2017,Center for Epidemiology and Animal Health
49,2017,National Wildlife Health Center
52,2017,Eastern Illinois University
54,2017,National Technical University of Athens
55,2017,Pennsylvania State University
57,2017,Iowa Department of Natural Resources
58,2017,University of Iowa
59,2017,New School
60,2017,United States Department of Agriculture Climate Hubs
61,2017,Illinois Archaeological Survey
64,2017,Portland State University
65,2017,Coventry University
66,2017,Washington State University Vancouver
67,2017,Cornell University
68,2017,The Nature Conservancy
69,2017,Lawrence Berkeley National Laboratory
70,2017,Joint BioEnergy Institute
71,2017,South Dakota State University
72,2017,University of Oklahoma
73,2017,Institute of Geographic Sciences and Natural Resources Research
74,2017,LinkedIn (United States)
75,2017,Fudan University
76,2017,Texas A&M University
77,2017,"University of California, Davis"
80,2017,"California State University, Sacramento"
81,2017,University of Illinois Urbana-Champaign
83,2017,University of Missouri
84,2017,ExxonMobil (United States)
85,2017,Indiana University Bloomington
86,2017,University of South Carolina
87,2017,Institute of Remote Sensing and Digital Earth
88,2017,Chinese Academy of Sciences
89,2017,Loughborough University
91,2017,University of Nebraska–Lincoln
92,2017,National Institutes of Health
93,2017,University of Illinois at Chicago
94,2017,National Cancer Institute
95,2017,Korea Environment Institute
96,2017,Texas A&M University System
99,2017,Waters (United States)
100,2017,Lake Region State College
102,2017,University of Vermont
108,2017,University of Washington
109,2017,Noble Research Institute
110,2017,Economic Research Service
111,2017,Louisiana State University Agricultural Center
115,2017,George Mason University
120,2017,National Institute for Occupational Safety and Health
123,2017,University of Arkansas at Fayetteville
124,2017,Association of Schools and Programs of Public Health
125,2017,Environmental Protection Agency
126,2017,National Center for Environmental Assessment (EPA)
128,2017,Oklahoma State University
129,2017,Colorado State University
131,2017,Tufts University
134,2017,Johns Hopkins University
135,2017,Yale University
136,2017,University of New Hampshire at Manchester
137,2017,Boston College
138,2017,Boston University
140,2017,Point Blue Conservation Science
141,2017,Carnegie Mellon University
142,2017,The Ohio State University
143,2017,Northern Research Station
147,2017,Alabama Agricultural and Mechanical University
148,2017,"California State University, Fresno"
149,2017,Nebraska Medical Center
150,2017,University of Nebraska Medical Center
153,2017,Farm Safety For Just Kids
157,2017,National Cattlemen's Beef Association
159,2017,Syngenta (United States)
161,2017,United States Fish and Wildlife Service
162,2017,Center for Food Safety and Applied Nutrition
164,2017,Ball State University
165,2017,Louisiana State University
166,2017,RAND Corporation
168,2017,Miami University
169,2017,"Institute of Sociology, Academia Sinica"
171,2017,Connecticut Agricultural Experiment Station
173,2017,Oregon State University
175,2017,University of Vermont Medical Center
176,2017,Texas A&M University – Kingsville
178,2017,University of Georgia
180,2017,International Food Policy Research Institute
181,2017,Xiamen University
182,2017,Agricultural Marketing Service
183,2017,Food and Nutrition Service
184,2017,University of Minnesota System
185,2017,University of Wisconsin–Extension
187,2017,University of Wyoming
188,2017,Farm Service Agency
190,2017,Policy Analysis (United States)
197,2019,Boise State University
198,2023,"University of California, Davis"
199,2023,Iowa State University
201,2020,University of Ljubljana
202,2020,Centraal Bureau voor de Statistiek
203,2020,Ludwig-Maximilians-Universität München
204,2020,Institut für Arbeitsmarkt und Berufsforschung
205,2020,University of Mannheim
206,2020,Central Bank of the Republic of Turkey
207,2020,Statistics Norway
208,2020,National Statistical Institute of Portugal
209,2020,United States Census Bureau
210,2018,United States Census Bureau
211,2018,State Street (United States)
212,2018,University of Michigan–Ann Arbor
213,2018,Centraal Bureau voor de Statistiek
214,2018,Michigan State University
215,2018,Agricultural Marketing Service
216,2018,Southern Research Station
217,2018,Virginia Tech
218,2018,University of Maine
219,2019,Miles College
220,2019,Auburn University
221,2019,University of Illinois Urbana-Champaign
222,2022,University of Iowa
