,year,title
0,2017,Journal of Soil and Water Conservation
1,2017,Journal of Official Statistics
2,2017,Climate Risk Management
3,2017,DOAJ (DOAJ: Directory of Open Access Journals)
4,2017,Remote Sensing of Environment
5,2017,CONICET Digital (CONICET)
6,2017,International Journal of Applied Earth Observation and Geoinformation
7,2017,Ecological Engineering
8,2017,Geophysical Research Letters
9,2017,Weed Technology
11,2017,Iowa State University Digital Repository (Iowa State University)
12,2017,Remote Sensing
14,2017,Open Access Repository of ICRISAT (International Crops Research Institute for the Semi-Arid Tropics)
16,2017,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
17,2017,The Science of The Total Environment
18,2017,PubMed
19,2017,Hydrology and earth system sciences
20,2017,Digital Commons - USU (Utah State University)
21,2017,ACS Sustainable Chemistry & Engineering
22,2017,Scientific Reports
24,2017,Europe PMC (PubMed Central)
25,2017,Digital Commons - University of Nebraska Lincoln (University of Nebraska–Lincoln)
27,2017,PubMed Central
29,2017,Journal of Land Use Science
30,2017,JAWRA Journal of the American Water Resources Association
32,2017,Sustainability
34,2017,Climatic Change
35,2017,Agroecology and Sustainable Food Systems
36,2017,Pure (Coventry University)
38,2017,Agricultural and Forest Meteorology
39,2017,Environmental Science & Technology
40,2017,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
45,2017,National Quail Symposium Proceedings
46,2017,Journal of Rural Studies
47,2017,eScholarship (California Digital Library)
49,2017,RePEc: Research Papers in Economics
50,2017,Earth s Future
51,2017,Water Resources Research
52,2017,Journal of Transportation Technologies
56,2017,ISPRS Journal of Photogrammetry and Remote Sensing
57,2017,Water
58,2017,Loughborough University Research Repository (Loughborough University)
59,2017,Oxford University Research Archive (ORA) (University of Oxford)
60,2017,Loughborough University Institutional Repository (Loughborough University)
61,2017,Ecology and Evolution
63,2017,Environmental Research
67,2017,Ecological Modelling
69,2017,Energy
70,2017,K-State Research Exchange (Kansas State University)
73,2017,ScholarWorks -A service of University of Vermont Libraries (University of Vermont)
74,2017,Agriculture and Human Values
75,2017,Annals of the American Association of Geographers
78,2017,Environmental Health Perspectives
82,2017,The Professional Animal Scientist
83,2017,LSU Digital Commons (Louisiana State University)
84,2017,Risk Analysis
87,2017,Journal of Integrative Agriculture
94,2017,International Archives of Occupational and Environmental Health
98,2017,Journal of Agricultural Biological and Environmental Statistics
99,2017,GCB Bioenergy
101,2017,Journal of Agriculture Food Systems and Community Development
107,2017,Journal of Agricultural and Applied Economics
111,2017,Food Policy
112,2017,Journal of Environmental Management
114,2017,International Journal of Biodiversity Science Ecosystems Services & Management
118,2017,Journal of Extension
120,2017,Agroforestry Systems
121,2017,American Journal of Industrial Medicine
123,2017,American Journal of Agricultural Economics
126,2017,Safety
129,2017,Journal of Dairy Science
131,2017,Integrated Environmental Assessment and Management
133,2017,Toxics
135,2017,NCSU Libraries Repository (North Carolina State University Libraries)
140,2017,Renewable Agriculture and Food Systems
141,2017,Journal of Ocean and Coastal Economics
142,2017,Journal of Planning Literature
143,2017,AoB Plants
149,2017,HortScience
153,2017,International Journal of Agricultural Sustainability
160,2017,Journal of Environmental Economics and Policy
161,2017,Agricultural Finance Review
162,2017,Ecological Economics
164,2017,Agriculture Ecosystems & Environment
165,2019,Journal of Agriculture Food Systems and Community Development
166,2023,Agriculture and Human Values
167,2023,PubMed Central
168,2023,PubMed
169,2017,Journal of Applied Farm Economics
173,2020,Statistical Journal of the IAOS
174,2020,Repository of the University of Ljubljana (University of Ljubljana)
176,2018,Journal of Official Statistics
177,2018,Data Archiving and Networked Services (DANS)
178,2018,Journal of Agriculture Food Systems and Community Development
179,2019,Agricultural Economics
180,2019,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
182,2019,RePEc: Research Papers in Economics
184,2019,"AgEcon Search (University of Minnesota, USA)"
186,2022,EarthArXiv (California Digital Library)
187,2018,Journal of Agricultural Safety and Health
188,2018,PubMed Central
189,2018,PubMed
192,2018,Rural Sociology
193,2019,Safety
194,2019,DOAJ (DOAJ: Directory of Open Access Journals)
195,2021,Agricultural and Food Economics
196,2021,DOAJ (DOAJ: Directory of Open Access Journals)
197,2019,Veterinary Parasitology Regional Studies and Reports
198,2019,PubMed
199,2018,Phytopathology
201,2020,Geospatial health
202,2020,DOAJ (DOAJ: Directory of Open Access Journals)
203,2020,PubMed
204,2021,Agricultural Water Management
205,2021,Journal of Environmental Horticulture
206,2021,VTechWorks (Virginia Tech)
207,2019,ISPRS Journal of Photogrammetry and Remote Sensing
208,2020,Water Resources Research
209,2020,IIASA PURE (International Institute of Applied Systems Analysis)
211,2020,UCL Discovery (University College London)
212,2019,Remote Sensing of Environment
