,title,doi,year,exists_in_openalex
0,Research topics to scale up cover crop use: Reflections from innovative Iowa farmers,10.2489/jswc.72.3.59a,2017,True
1,The Impact of Targeted Data Collection on Nonresponse Bias in an Establishment Survey: A Simulation Study of Adaptive Survey Design,10.1515/jos-2017-0039,2017,True
2,"Climate change beliefs, risk perceptions, and adaptation behavior among Midwestern U.S. crop farmers",10.1016/j.crm.2016.11.004,2017,True
3,National-scale soybean mapping and area estimation in the United States using medium resolution satellite imagery and field survey,10.1016/j.rse.2017.01.008,2017,True
4,Measuring land-use and land-cover change using the U.S. department of agriculture’s cropland data layer: Cautions and recommendations,10.1016/j.jag.2017.06.007,2017,True
5,Subsurface tile drained area detection using GIS and remote sensing in an agricultural watershed,10.1016/j.ecoleng.2017.06.048,2017,True
6,Annual Irrigation Dynamics in the U.S. Northern High Plains Derived from Landsat Satellite Data,10.1002/2017gl074071,2017,True
7,Perspectives on Potential Soybean Yield Losses from Weeds in North America,10.1017/wet.2016.2,2017,True
8,Climate change typologies and audience segmentation among Corn Belt farmers,10.2489/jswc.72.3.205,2017,True
9,Nominal 30-m Cropland Extent Map of Continental Africa by Integrating Pixel-Based and Object-Based Algorithms Using Sentinel-2 and Landsat-8 Data on Google Earth Engine,10.3390/rs9101065,2017,True
10,Towards fine resolution global maps of crop yields: Testing multiple methods and satellites in three countries,10.1016/j.rse.2017.04.014,2017,True
11,"Intercomparison of Soil Moisture, Evaporative Stress, and Vegetation Indices for Estimating Corn and Soybean Yields Over the U.S.",10.1109/jstars.2016.2639338,2017,True
12,"Implications of changing spatial dynamics of irrigated pasture, California's third largest agricultural water use",10.1016/j.scitotenv.2017.06.065,2017,True
13,Human amplified changes in precipitation–runoff patterns in large river basins of the Midwestern United States,10.5194/hess-21-5065-2017,2017,True
14,Food–Energy–Water Nexus: Quantifying Embodied Energy and GHG Emissions from Irrigation through Virtual Water Transfers in Food Trade,10.1021/acssuschemeng.6b02122,2017,True
15,"Cross-species transmission potential between wild pigs, livestock, poultry, wildlife, and humans: implications for disease risk management in North America",10.1038/s41598-017-07336-z,2017,True
16,"Human drivers, biophysical changes, and climatic variation affecting contemporary cropping proportions in the northern prairie of the U.S",10.1080/1747423x.2017.1413433,2017,True
17,"Assessment of Bioenergy Cropping Scenarios for the Boone River Watershed in North Central Iowa, United States",10.1111/1752-1688.12593,2017,True
18,Urban Food Systems Strategies: A Promising Tool for Implementing the SDGs in Practice †,10.3390/su9101707,2017,True
