year,name
1994,"Brian W. Gould"
1994,"James A. LaGro Jr."
1995,"Michael Lloyd"
1996,"Alicia Gebhardt"
1996,"Judith I. Stallmann"
1996,"Raymond T. Coward"
1998,"Daniel C. Paschal"
1998,"Thomas N. Taylor"
1999,"Kurt Fuellhart"
1999,"Robert B. Wallace"
2000,"Richard F. Gillum"
2000,"Thomas O. Obisesan"
2002,"Brian Roe"
2002,"Sara Wilcox"
2003,"Amir Hefetz"
2004,"David M Theobald"
2005,"Alan Zaslavsky"
2005,"Wilbert M. Gesler"
2006,"Changhong Song"
2006,"Eugene Makela"
2006,"Irina V. Haller"
2006,"Paul A. Godley"
2007,"Barbara Heise"
2007,"Gwen Hunnicutt"
2007,"James J. Clark"
2007,"Sharon L. Larson"
2008,"Kristen A. Conner"
2008,"Timothy M. Brister"
2009,"Angela M. Jukkala"
2009,"Diane A. Klein"
2009,"Florian Diekmann"
2009,"Irma H. Mahone"
2010,"Aiden Galarza"
2010,"Brenda Kluhsman"
2010,"Jianwen Cai"
2010,"L. Kathleen Sekula"
2010,"Lawrence R. Wechsler"
2010,"Melissa Latimer"
2010,"Steven B. Garasky"
2010,"Tara W. Strine"
2011,"Lina Mezei"
2012,"Claudia Steiner"
2012,"Mark Williams"
2012,"Rebecca A. Meriwether"
2012,"Sharon P. Cooper"
2013,"John Yim"
2013,"Karen E. Hoffman"
2013,"Kathi L.H. Harp"
2013,"Paul L. Kimmel"
2014,"Anthony V. D'Amico"
2014,"Catherine S. Wolff"
2014,"David R. Williams"
2014,"Gopal K. Singh"
2014,"Jay S. Loeffler"
2014,"Ken R. Smith"
2014,"Liu Yang"
2014,"Matthew Miller"
2014,"Mei Zhao"
2014,"Rajesh Paleti"
2014,"Ravi Sharma"
2014,"Virginia Pate"
2014,"Wendy Cozen"
2015,"Adam J. Gordon"
2015,"Allison E. Flittner O'Grady"
2015,"Aviram M. Giladi"
2015,"Deepansh Dalela"
2015,"Diana María Herrera-Ibatá"
2015,"Jeanne-Marie R. Stacciarini"
2015,"Kathi L.H. Harp"
2015,"Rohan Mahabaleshwarkar"
2015,"Toni K. Choueiri"
2015,"Zachary G. Schwam"
2016,"Elinore J. Kaufman"
2016,"Ellen Paulsey"
2016,"Joseph Lipscomb"
2016,"Kang Namkoong"
2016,"Mark Lapping"
2016,"Sally S. Cohen"
2016,"Sarah C. Markt"
2017,"Adam Alford"
2017,"Adam Mayer"
2017,"Afzan Nor Talib"
2017,"Albrecht Ehrensperger"
2017,"Allen R. Kunselman"
2017,"Allison Bauman"
2017,"Allison Malloy"
2017,"Ana Poblacion"
2017,"Andrew M Belknap"
2017,"Andrew Welfle"
2017,"Aneta Gerszberg"
2017,"Angelo Belliggiano"
2017,"Anna Grummon"
2017,"Anthony Dowell"
2017,"Antonio Gilberto Bertechini"
