year,"title"
1991,"The Journal of Rural Health"
1992,"JAMA: The Journal of the American Medical Association"
1993,"Growth and Change"
1993,"The Journal of Rural Health"
1994,"Archives of Family Medicine"
1994,"Australian Journal of Public Health"
1994,"Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie"
1994,"JAMA: The Journal of the American Medical Association"
1994,"Journal of Urban Economics"
1994,"Landscape and Urban Planning"
1994,"Obstetrics and Gynecology"
1995,"Administration and Policy in Mental Health"
1995,"Journal of the American Medical Association"
1996,"Environment and Planning A"
1996,"Environment and Planning C: Government and Policy"
1996,"Health Services Research"
1996,"Journal of Applied Gerontology"
1996,"Journal of Environmental Management"
1996,"Journal of Rural Health"
1996,"Journal of the American Board of Family Practice"
1996,"Public Works Management & Policy"
1996,"Review of Public Personnel Administration"
1996,"Review of Regional Studies"
1996,"Substance Use and Misuse"
1996,"Youth and Society"
1997,"Administration and Policy in Mental Health"
1997,"American Journal of Epidemiology"
1997,"American Journal of Public Health"
1997,"Chest"
1997,"Diabetes Care"
1997,"Family Planning Perspectives"
1997,"Journal of Adolescent Health"
1997,"Journal of Applied Gerontology"
1997,"Medical Care"
1997,"Morbidity and Mortality Weekly Report"
1997,"Social Science and Medicine"
1998,"American Journal of Agricultural Economics"
1998,"Arthritis and Rheumatism"
1998,"Environmental Health Perspectives"
1998,"Family Relations"
1998,"Journal of Research in Pharmaceutical Economics"
1998,"Journal of Rural Health"
1998,"Journal of the American Medical Association"
1998,"Medical Care"
1998,"Morbidity and Mortality Weekly Report"
1998,"Natural Areas Journal"
1998,"Nutrition & Food Science"
1998,"Review of Regional Studies"
1998,"Social Forces"
1999,"Academic Medicine"
1999,"European Urban and Regional Studies"
1999,"Geoforum"
1999,"Journal of Cross-Cultural Gerontology"
1999,"Journal of Health Care for the Poor and Underserved"
1999,"Journal of Rural Health"
1999,"Journals of Gerontology - Series B Psychological Sciences and Social Sciences"
1999,"Medical Care"
1999,"Public Health Nursing"
1999,"Review of Regional Studies"
1999,"Rural Sociology"
1999,"Seminars in Respiratory and Critical Care Medicine"
1999,"Social Science Journal"
1999,"Urban Geography"
1999,"USDA Forest Service - General Technical Report PNW"
2000,"American Journal of Public Health"
2000,"Journal of Disability Policy Studies"
2000,"Journal of Health Care for the Poor and Underserved"
2000,"Journal of Regional Science"
2000,"Journal of the American Medical Association"
2000,"Papers in Regional Science"
2000,"Professional Geographer"
2000,"Public Health Nursing"
2000,"Social Forces"
2000,"Stroke"
2001,"Arthritis Care and Research"
2001,"Geographical Analysis"
2001,"International Regional Science Review"
2001,"Journal of Interpersonal Violence"
2001,"Journal of Labor Research"
2001,"Journal of Rural Health"
2001,"Journal of the American Board of Family Practice"
2001,"Pediatrics"
2001,"Population Research and Policy Review"
2001,"Professional Geographer"
2001,"Rural Sociology"
2001,"Sociological Quarterly"
2001,"Western Journal of Medicine"
2002,"Applied Economics"
2002,"Archives of Pediatrics and Adolescent Medicine"
2002,"Cancer"
2002,"Child Welfare"
2002,"Family Medicine"
2002,"Growth and Change"
2002,"Gynecologic Oncology"
2002,"Housing Policy Debate"
2002,"Journal of Applied Gerontology"
2002,"Journal of Rural Health"
2002,"Mental Health Services Research"
2002,"Morbidity and Mortality Weekly Report"
2002,"Pediatrics"
2002,"Research in Nursing and Health"
2002,"Women and Health"
2003,"American Journal of Preventive Medicine"
2003,"Archives of Psychiatric Nursing"
2003,"Biological Trace Element Research"
2003,"Canadian Geographer"
2003,"Educational Gerontology"
2003,"Environment and Planning C: Government and Policy"
2003,"Great Plains Research"
2003,"Injury Prevention"
2003,"Journal of Acquired Immune Deficiency Syndromes"
2003,"Journal of Head Trauma Rehabilitation"
