doi,"title",year
10.1175/WCAS-D-17-0067.1,"Tracking drought perspectives: A rural case study of transformations following an invisible hazard",2018
10.1061/9780784481400.026,"A Critical Analysis of the Lake Champlain's TMDL",2018
10.1186/s13007-018-0338-z,"Remote estimation of rapeseed yield with unmanned aerial vehicle (UAV) imaging and spectral mixture analysis",2018
10.1111/anti.12694,"Pathogenic Metabolisms: A Rift and the Zika Virus in Mato Grosso, Brazil",2021
10.1111/csp2.489,"Exploring pathways to participation in an at-risk species conservation program",2021
10.1111/1752-1688.12890,"Conceptual Framework of Connectivity for a National Agroecosystem Model Based on Transport Processes and Management Practices",2021
10.1111/ajes.12233,"Land Gains, Land Losses: The Odyssey of African Americans Since Reconstruction",2018
10.1111/gcb.14768,"Largely underestimated carbon emission from land use and land cover change in the conterminous United States",2019
10.1029/2019MS001953,"Effects of Irrigation on Water, Carbon, and Nitrogen Budgets in a Semiarid Watershed in the Pacific Northwest: A Modeling Study",2020
10.1111/1365-2656.13228,"Changes in climate and land use interact to create an ecological trap in a migratory species",2020
10.1111/sum.12438,"The long-term soil phosphorus balance across Chinese arable land",2018
10.1029/2019WR024986,"Groundwater Depletion Embedded in Domestic Transfers and International Exports of the United States",2020
10.1079/PAVSNNR202015012,"Crop-livestock integrated systems for more sustainable agricultural production: A review",2020
10.5194/acp-21-951-2021,"Aircraft-based inversions quantify the importance of wetlands and livestock for Upper Midwest methane emissions",2021
10.1002/eap.1955,"Land-use and climatic causes of environmental novelty in Wisconsin since 1890",2019
10.1016/j.chieco.2017.01.009,"Surplus agricultural labour and China's Lewis turning point",2018
10.1016/j.ijcard.2018.04.134,"Changes in characteristics, risk factors, and in-hospital mortality among patients with acute myocardial infarction in the capital of China over 40?years",2018
10.3389/fsufs.2019.00042,"A Generic Approach for Live Prediction of the Risk of Agricultural Field Runoff and Delivery to Watercourses: Linking Parsimonious Soil-Water-Connectivity Models With Live Weather Data Apis in Decision Tools",2019
10.3389/fsufs.2021.734088,"The “Sweet Spot” in the Middle: Why Do Mid-Scale Farms Adopt Diversification Practices at Higher Rates?",2021
10.3389/fsufs.2021.712136,"The Extent and Economic Significance of Cultivated Forage Crops in Developing Countries",2021
10.3389/frwa.2021.757106,"Tile Drainage Increases Total Runoff and Phosphorus Export During Wet Years in the Western Lake Erie Basin",2021
10.1080/23311932.2017.1334750,"Greenhouse gas emissions and irrigation water use in the production of pulse crops in the United States",2017
10.5614/j.eng.technol.sci.2020.52.6.3,"Urban gardening system for home organic vegetables: Led artificial light and irrigation control",2020
10.1109/Agro-Geoinformatics.2019.8820476,"Application and research progress of Geographic Information System (GIS) in agriculture",2019
10.1088/1748-9326/ab3b93,"Probabilistic global maps of crop-specific areas from 1961 to 2014",2019
10.1002/agj2.20354,""New winter crops and rotations for the Pacific Northwest low-precipitation drylands"",2020
10.1002/agg2.20103,"Phosphorus pools in soils under rotational and continuous grazed pastures",2020
10.1111/ajae.12130,"Environmental Externalities from Agriculture: Evidence from Water Quality in the United States",2021
10.1111/ajae.12204,"U.S. Interstate Trade Will Mitigate the Negative Impact of Climate Change on Crop Profit",2021
10.1111/ajae.12265,"Preserving local biodiversity through crop diversification",2021
10.1111/ajae.12270,"Fixed or mixed? Farmer-level heterogeneity in response to changes in salinity",2021
